,,,,,,,,,,
Легковые,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-22,R-24
Снять/Поставить,110,120,135,145,150,165,180,195,205,265
Монтаж/Демонтаж,130,135,150,175,210,240,290,340,370,610
Балансировка,160,170,190,230,240,270,305,365,400,625
Комплекс шиномонтажа 4-х колес,1400,1700,1900,2200,2400,2700,3100,3600,3900,6000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Внедорожники |  Кроссоверы (Универсалы)  | Минивэны,,,R-15,R-16,R-17,R-18,R-19,R-20,R-22,R-24
Снять/Поставить,,,140,150,170,185,195,210,265,325
Монтаж/Демонтаж,,,185,210,240,295,340,365,615,720
Балансировка,,,225,240,265,320,365,400,620,755
Комплекс шиномонтажа 4-х колес,,,2150,2400,2700,3200,3600,3900,6000,7200
,,,,,,,,,,
Доп.Услуги,,,,,,,,,,
,,,,,,,,,,
Замена вентилей (обычный) : 100руб. (1 шт.) ,,,,,,,,,,
Замена вентилей (хром) : 150руб. (1 шт.) ,,,,,,,,,,
Ремонт шины грибком: 500 руб. ,,,,,,,,,,
Ремонт шины жгутом: 400 руб. ,,,,,,,,,,
Ремонт шины пластырем (заплаткой): 800 руб. ,,,,,,,,,,
Шиномонтажные работы на низкопрофильную резину (от 45) +30% к стоимости ,,,,,,,,,,
Шиномонтажные работы на низкопрофильную резину (от 40) +50% к стоимости ,,,,,,,,,,
Штампованные колеса - 5 % от прайса ,,,,,,,,,,
Шины Run Flat + 50% к стоимости работ ,,,,,,,,,,
Диски с датчиками давления + 50% к стоимости работ ,,,,,,,,,,
